number,target
3279,P14385
3280,P72161
3281,O14561
3282,P33517
3283,P26790
3284,P0ACC7
3285,P23276
3286,P69441
3287,Q8IDD3
3288,P05230
3289,Q08881
3290,Q9UQQ2
3291,O52806
3292,Q9NY56
3293,Q9H3S4
3294,P62669
3295,Q9I5I9
3296,P15555
3297,Q92876
3298,Q9L888
3299,P08620
3300,P05177
3301,O14717
3302,Q9Y468
3303,P0C1V1
3304,P08870
3305,P95673
3306,Q08188
3307,P49366
3308,O15270
3309,Q7L0J3
3310,A0A1K3GRG2
3311,Q16873
3312,P61888
3313,Q06124
3314,Q9RC23
3315,Q7Z4W1
3316,Q92781
3317,P00808
3318,P0AC13
3319,P04190
3320,O14874
3321,Q16568
3322,Q99870
3323,Q9Y6L6
3324,O34453
3325,O43175
3326,A0A045ISQ8
3327,Q88H32
3328,O43519
3329,P76187
3330,O00180
3331,Q9Y257
3332,C0H571
3333,P0A0N4
3334,Q8IY84
3335,O25608
3336,P28593
3337,Q12908
3338,P39593
3339,P53805
3340,Q86YV6
3341,P05164
3342,P27797
3343,P46597
3344,Q92753
3345,P11678
3346,Q81EW9
3347,Q9N587
3348,P63151
3349,Q08345
3350,P00751
3351,Q9HC97
3352,Q9UHI7
3353,P06280
3354,Q9X1F0
3355,P18283
3356,P9WKK7
3357,P03433
3358,P00101
3359,P0AGE0
3360,P33644
3361,P68871
3362,Q9NS75
3363,P27635
3364,O00483
3365,Q8GR64
3366,P04798
3367,P55210
3368,P94690
3369,P0A6K3
3370,Q9BVJ7
3371,P28066
3372,P42971
3373,P13661
3374,P11172
3375,P03897
3376,P05020
3377,Q9F663
3378,P02778
3379,Q96A70
3380,O32723
3381,P06129
3382,O60674
3383,P52333
3384,P23458
3385,P11926
3386,P05155
3387,P44886
3388,Q8DR59
3389,Q7CRA4
3390,Q8DNB6
3391,Q5SII2
3392,P15538
3393,P0C2S5
3394,P23882
3395,Q92887
3396,Q96S37
3397,P43487
3398,P51691
3399,Q5VZ30
3400,Q9NR63
3401,P18843
3402,Q8SPQ9
3403,Q8I6U8
3404,P01133
3405,P00091
3406,P80561
3407,O95954
3408,Q83WG3
3409,P46072
3410,P62753
3411,Q6IBS8
3412,Q9UJU2
3413,Q01782
3414,Q03426
3415,P55196
3416,O00750
3417,P00390
3418,Q5LRQ9
3419,O60669
3420,Q6PYX1
3421,P0A076
3422,P51852
3423,P23416
3424,P00497
3425,P9WPS1
3426,O94804
